2021-03-26_19-47-12_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps1
102: acc=64.60% acc_corr=67.31% avg#q_ae=43.66 med#q=103.0, avg_margin=4.31, buff=19194, (n_ex=9597, eps=1.000, 634.42s)
103: acc=64.51% acc_corr=67.22% avg#q_ae=43.84 med#q=104.0, avg_margin=4.30, buff=19194, (n_ex=9597, eps=1.000, 639.52s)
104: acc=64.18% acc_corr=66.88% avg#q_ae=44.48 med#q=105.0, avg_margin=4.27, buff=19194, (n_ex=9597, eps=1.000, 644.72s)
105: acc=64.05% acc_corr=66.74% avg#q_ae=44.74 med#q=106.0, avg_margin=4.26, buff=19194, (n_ex=9597, eps=1.000, 649.85s)
106: acc=63.89% acc_corr=66.57% avg#q_ae=45.05 med#q=107.0, avg_margin=4.25, buff=19194, (n_ex=9597, eps=1.000, 654.95s)
107: acc=63.69% acc_corr=66.36% avg#q_ae=45.45 med#q=108.0, avg_margin=4.22, buff=19194, (n_ex=9597, eps=1.000, 660.16s)
108: acc=63.55% acc_corr=66.22% avg#q_ae=45.73 med#q=109.0, avg_margin=4.20, buff=19194, (n_ex=9597, eps=1.000, 665.20s)
109: acc=63.37% acc_corr=66.03% avg#q_ae=46.09 med#q=110.0, avg_margin=4.18, buff=19194, (n_ex=9597, eps=1.000, 670.33s)
110: acc=63.26% acc_corr=65.92% avg#q_ae=46.31 med#q=111.0, avg_margin=4.17, buff=19194, (n_ex=9597, eps=1.000, 675.42s)
111: acc=63.11% acc_corr=65.76% avg#q_ae=46.62 med#q=112.0, avg_margin=4.16, buff=19194, (n_ex=9597, eps=1.000, 680.47s)
112: acc=62.94% acc_corr=65.58% avg#q_ae=46.96 med#q=113.0, avg_margin=4.14, buff=19194, (n_ex=9597, eps=1.000, 685.47s)
113: acc=62.83% acc_corr=65.47% avg#q_ae=47.19 med#q=114.0, avg_margin=4.13, buff=19194, (n_ex=9597, eps=1.000, 690.48s)
114: acc=62.75% acc_corr=65.39% avg#q_ae=47.35 med#q=115.0, avg_margin=4.11, buff=19194, (n_ex=9597, eps=1.000, 695.44s)
115: acc=62.68% acc_corr=65.31% avg#q_ae=47.50 med#q=116.0, avg_margin=4.10, buff=19194, (n_ex=9597, eps=1.000, 700.40s)
116: acc=62.48% acc_corr=65.10% avg#q_ae=47.92 med#q=117.0, avg_margin=4.09, buff=19194, (n_ex=9597, eps=1.000, 705.45s)
117: acc=62.41% acc_corr=65.03% avg#q_ae=48.07 med#q=118.0, avg_margin=4.08, buff=19194, (n_ex=9597, eps=1.000, 710.47s)
118: acc=62.30% acc_corr=64.92% avg#q_ae=48.30 med#q=119.0, avg_margin=4.07, buff=19194, (n_ex=9597, eps=1.000, 715.50s)
