2021-03-26_19-45-48_EXACT_IFTY1_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps4
114: acc=79.29% acc_corr=82.62% avg#q_ae=51.63 med#q=115.0, avg_margin=5.91, buff=19194, (n_ex=9597, eps=4.000, 714.07s)
115: acc=79.05% acc_corr=82.37% avg#q_ae=52.56 med#q=116.0, avg_margin=5.89, buff=19194, (n_ex=9597, eps=4.000, 719.77s)
116: acc=78.98% acc_corr=82.30% avg#q_ae=52.83 med#q=117.0, avg_margin=5.88, buff=19194, (n_ex=9597, eps=4.000, 725.63s)
117: acc=78.88% acc_corr=82.19% avg#q_ae=53.22 med#q=118.0, avg_margin=5.87, buff=19194, (n_ex=9597, eps=4.000, 731.40s)
118: acc=78.79% acc_corr=82.10% avg#q_ae=53.57 med#q=119.0, avg_margin=5.86, buff=19194, (n_ex=9597, eps=4.000, 737.10s)
119: acc=78.73% acc_corr=82.04% avg#q_ae=53.80 med#q=120.0, avg_margin=5.85, buff=19194, (n_ex=9597, eps=4.000, 742.74s)
120: acc=78.53% acc_corr=81.83% avg#q_ae=54.58 med#q=121.0, avg_margin=5.83, buff=19194, (n_ex=9597, eps=4.000, 748.36s)
121: acc=78.44% acc_corr=81.73% avg#q_ae=54.93 med#q=122.0, avg_margin=5.82, buff=19194, (n_ex=9597, eps=4.000, 753.96s)
122: acc=78.32% acc_corr=81.61% avg#q_ae=55.40 med#q=123.0, avg_margin=5.80, buff=19194, (n_ex=9597, eps=4.000, 759.57s)
123: acc=78.14% acc_corr=81.42% avg#q_ae=56.11 med#q=124.0, avg_margin=5.78, buff=19194, (n_ex=9597, eps=4.000, 765.15s)
124: acc=78.05% acc_corr=81.33% avg#q_ae=56.46 med#q=125.0, avg_margin=5.77, buff=19194, (n_ex=9597, eps=4.000, 770.70s)
125: acc=77.88% acc_corr=81.15% avg#q_ae=57.12 med#q=126.0, avg_margin=5.75, buff=19194, (n_ex=9597, eps=4.000, 776.31s)
126: acc=77.82% acc_corr=81.09% avg#q_ae=57.35 med#q=127.0, avg_margin=5.74, buff=19194, (n_ex=9597, eps=4.000, 781.93s)
127: acc=77.73% acc_corr=80.99% avg#q_ae=57.71 med#q=128.0, avg_margin=5.73, buff=19194, (n_ex=9597, eps=4.000, 787.62s)
128: acc=77.61% acc_corr=80.87% avg#q_ae=58.18 med#q=129.0, avg_margin=5.71, buff=19194, (n_ex=9597, eps=4.000, 793.22s)
129: acc=77.56% acc_corr=80.82% avg#q_ae=58.38 med#q=130.0, avg_margin=5.71, buff=19194, (n_ex=9597, eps=4.000, 798.75s)
130: acc=77.40% acc_corr=80.65% avg#q_ae=59.01 med#q=131.0, avg_margin=5.69, buff=19194, (n_ex=9597, eps=4.000, 804.32s)
131: acc=77.24% acc_corr=80.48% avg#q_ae=59.64 med#q=132.0, avg_margin=5.67, buff=19194, (n_ex=9597, eps=4.000, 809.88s)
132: acc=77.14% acc_corr=80.38% avg#q_ae=60.04 med#q=133.0, avg_margin=5.66, buff=19194, (n_ex=9597, eps=4.000, 815.35s)
133: acc=77.06% acc_corr=80.30% avg#q_ae=60.36 med#q=134.0, avg_margin=5.65, buff=19194, (n_ex=9597, eps=4.000, 820.85s)
134: acc=76.95% acc_corr=80.18% avg#q_ae=60.79 med#q=135.0, avg_margin=5.63, buff=19194, (n_ex=9597, eps=4.000, 826.36s)
135: acc=76.87% acc_corr=80.10% avg#q_ae=61.11 med#q=136.0, avg_margin=5.62, buff=19194, (n_ex=9597, eps=4.000, 831.93s)
136: acc=76.73% acc_corr=79.95% avg#q_ae=61.67 med#q=137.0, avg_margin=5.61, buff=19194, (n_ex=9597, eps=4.000, 837.45s)
137: acc=76.62% acc_corr=79.84% avg#q_ae=62.11 med#q=138.0, avg_margin=5.59, buff=19194, (n_ex=9597, eps=4.000, 842.99s)
138: acc=76.54% acc_corr=79.75% avg#q_ae=62.43 med#q=139.0, avg_margin=5.59, buff=19194, (n_ex=9597, eps=4.000, 848.43s)
139: acc=76.41% acc_corr=79.62% avg#q_ae=62.96 med#q=140.0, avg_margin=5.58, buff=19194, (n_ex=9597, eps=4.000, 853.91s)
140: acc=76.35% acc_corr=79.56% avg#q_ae=63.20 med#q=141.0, avg_margin=5.57, buff=19194, (n_ex=9597, eps=4.000, 859.34s)
141: acc=76.21% acc_corr=79.41% avg#q_ae=63.76 med#q=142.0, avg_margin=5.55, buff=19194, (n_ex=9597, eps=4.000, 864.82s)
142: acc=76.13% acc_corr=79.33% avg#q_ae=64.09 med#q=143.0, avg_margin=5.54, buff=19194, (n_ex=9597, eps=4.000, 870.27s)
143: acc=76.01% acc_corr=79.20% avg#q_ae=64.57 med#q=144.0, avg_margin=5.53, buff=19194, (n_ex=9597, eps=4.000, 875.74s)
144: acc=75.98% acc_corr=79.17% avg#q_ae=64.69 med#q=145.0, avg_margin=5.53, buff=19194, (n_ex=9597, eps=4.000, 881.22s)
145: acc=75.89% acc_corr=79.08% avg#q_ae=65.06 med#q=146.0, avg_margin=5.51, buff=19194, (n_ex=9597, eps=4.000, 886.73s)
146: acc=75.78% acc_corr=78.96% avg#q_ae=65.52 med#q=147.0, avg_margin=5.50, buff=19194, (n_ex=9597, eps=4.000, 892.23s)
147: acc=75.73% acc_corr=78.91% avg#q_ae=65.72 med#q=148.0, avg_margin=5.49, buff=19194, (n_ex=9597, eps=4.000, 897.63s)
148: acc=75.62% acc_corr=78.80% avg#q_ae=66.18 med#q=149.0, avg_margin=5.48, buff=19194, (n_ex=9597, eps=4.000, 903.02s)
149: acc=75.58% acc_corr=78.75% avg#q_ae=66.34 med#q=150.0, avg_margin=5.48, buff=19194, (n_ex=9597, eps=4.000, 908.43s)
150: acc=75.55% acc_corr=78.72% avg#q_ae=66.47 med#q=151.0, avg_margin=5.47, buff=19194, (n_ex=9597, eps=4.000, 913.78s)
151: acc=75.50% acc_corr=78.67% avg#q_ae=66.68 med#q=152.0, avg_margin=5.46, buff=19194, (n_ex=9597, eps=4.000, 919.23s)
152: acc=75.44% acc_corr=78.61% avg#q_ae=66.94 med#q=153.0, avg_margin=5.45, buff=19194, (n_ex=9597, eps=4.000, 924.62s)
153: acc=75.24% acc_corr=78.40% avg#q_ae=67.79 med#q=154.0, avg_margin=5.43, buff=19194, (n_ex=9597, eps=4.000, 930.06s)
154: acc=75.18% acc_corr=78.34% avg#q_ae=68.04 med#q=155.0, avg_margin=5.43, buff=19194, (n_ex=9597, eps=4.000, 935.49s)
155: acc=75.10% acc_corr=78.25% avg#q_ae=68.38 med#q=156.0, avg_margin=5.41, buff=19194, (n_ex=9597, eps=4.000, 940.91s)
156: acc=75.02% acc_corr=78.17% avg#q_ae=68.72 med#q=157.0, avg_margin=5.41, buff=19194, (n_ex=9597, eps=4.000, 946.31s)
157: acc=74.95% acc_corr=78.10% avg#q_ae=69.02 med#q=158.0, avg_margin=5.40, buff=19194, (n_ex=9597, eps=4.000, 951.69s)
158: acc=74.92% acc_corr=78.07% avg#q_ae=69.15 med#q=159.0, avg_margin=5.39, buff=19194, (n_ex=9597, eps=4.000, 957.01s)
159: acc=74.77% acc_corr=77.91% avg#q_ae=69.80 med#q=160.0, avg_margin=5.38, buff=19194, (n_ex=9597, eps=4.000, 962.36s)
160: acc=74.71% acc_corr=77.85% avg#q_ae=70.06 med#q=161.0, avg_margin=5.37, buff=19194, (n_ex=9597, eps=4.000, 967.65s)
161: acc=74.60% acc_corr=77.73% avg#q_ae=70.54 med#q=162.0, avg_margin=5.36, buff=19194, (n_ex=9597, eps=4.000, 972.98s)
162: acc=74.57% acc_corr=77.70% avg#q_ae=70.67 med#q=163.0, avg_margin=5.36, buff=19194, (n_ex=9597, eps=4.000, 978.28s)
163: acc=74.55% acc_corr=77.68% avg#q_ae=70.76 med#q=164.0, avg_margin=5.36, buff=19194, (n_ex=9597, eps=4.000, 983.70s)
164: acc=74.49% acc_corr=77.62% avg#q_ae=71.03 med#q=165.0, avg_margin=5.35, buff=19194, (n_ex=9597, eps=4.000, 989.08s)
165: acc=74.47% acc_corr=77.60% avg#q_ae=71.12 med#q=166.0, avg_margin=5.34, buff=19194, (n_ex=9597, eps=4.000, 994.51s)
166: acc=74.41% acc_corr=77.53% avg#q_ae=71.39 med#q=167.0, avg_margin=5.33, buff=19194, (n_ex=9597, eps=4.000, 999.84s)
167: acc=74.35% acc_corr=77.47% avg#q_ae=71.66 med#q=168.0, avg_margin=5.32, buff=19194, (n_ex=9597, eps=4.000, 1005.18s)
