2021-05-05_00-03-05_EXACT_IFTY1_resnet_preact_HRZ0_RND1__Eps76
118: acc=3.75% acc_corr=3.77% avg#q_ae=5.45 med#q=1.0, avg_margin=-10.88, buff=19918, n_ex=9959, eps=76.500, 16.56s
119: acc=3.73% acc_corr=3.75% avg#q_ae=5.47 med#q=1.0, avg_margin=-10.88, buff=19918, n_ex=9959, eps=76.500, 16.62s
120: acc=3.71% acc_corr=3.73% avg#q_ae=5.50 med#q=1.0, avg_margin=-10.88, buff=19918, n_ex=9959, eps=76.500, 16.69s
121: acc=3.67% acc_corr=3.69% avg#q_ae=5.55 med#q=1.0, avg_margin=-10.88, buff=19918, n_ex=9959, eps=76.500, 16.76s
122: acc=3.66% acc_corr=3.68% avg#q_ae=5.56 med#q=1.0, avg_margin=-10.88, buff=19918, n_ex=9959, eps=76.500, 16.82s
123: acc=3.64% acc_corr=3.65% avg#q_ae=5.58 med#q=1.0, avg_margin=-10.89, buff=19918, n_ex=9959, eps=76.500, 16.89s
124: acc=3.62% acc_corr=3.63% avg#q_ae=5.61 med#q=1.0, avg_margin=-10.89, buff=19918, n_ex=9959, eps=76.500, 16.95s
125: acc=3.58% acc_corr=3.59% avg#q_ae=5.66 med#q=1.0, avg_margin=-10.89, buff=19918, n_ex=9959, eps=76.500, 17.02s
126: acc=3.58% acc_corr=3.59% avg#q_ae=5.66 med#q=1.0, avg_margin=-10.89, buff=19918, n_ex=9959, eps=76.500, 17.09s
127: acc=3.57% acc_corr=3.58% avg#q_ae=5.67 med#q=1.0, avg_margin=-10.89, buff=19918, n_ex=9959, eps=76.500, 17.15s
128: acc=3.53% acc_corr=3.54% avg#q_ae=5.72 med#q=1.0, avg_margin=-10.89, buff=19918, n_ex=9959, eps=76.500, 17.21s
129: acc=3.51% acc_corr=3.52% avg#q_ae=5.75 med#q=1.0, avg_margin=-10.89, buff=19918, n_ex=9959, eps=76.500, 17.28s
130: acc=3.49% acc_corr=3.50% avg#q_ae=5.78 med#q=1.0, avg_margin=-10.89, buff=19918, n_ex=9959, eps=76.500, 17.34s
131: acc=3.47% acc_corr=3.48% avg#q_ae=5.80 med#q=1.0, avg_margin=-10.90, buff=19918, n_ex=9959, eps=76.500, 17.41s
132: acc=3.45% acc_corr=3.46% avg#q_ae=5.83 med#q=1.0, avg_margin=-10.90, buff=19918, n_ex=9959, eps=76.500, 17.49s
133: acc=3.44% acc_corr=3.45% avg#q_ae=5.84 med#q=1.0, avg_margin=-10.90, buff=19918, n_ex=9959, eps=76.500, 17.55s
134: acc=3.42% acc_corr=3.43% avg#q_ae=5.87 med#q=1.0, avg_margin=-10.90, buff=19918, n_ex=9959, eps=76.500, 17.62s
135: acc=3.42% acc_corr=3.43% avg#q_ae=5.87 med#q=1.0, avg_margin=-10.90, buff=19918, n_ex=9959, eps=76.500, 17.67s
136: acc=3.40% acc_corr=3.41% avg#q_ae=5.90 med#q=1.0, avg_margin=-10.90, buff=19918, n_ex=9959, eps=76.500, 17.74s
137: acc=3.40% acc_corr=3.41% avg#q_ae=5.90 med#q=1.0, avg_margin=-10.90, buff=19918, n_ex=9959, eps=76.500, 17.80s
138: acc=3.39% acc_corr=3.40% avg#q_ae=5.91 med#q=1.0, avg_margin=-10.90, buff=19918, n_ex=9959, eps=76.500, 17.87s
139: acc=3.36% acc_corr=3.37% avg#q_ae=5.95 med#q=1.0, avg_margin=-10.90, buff=19918, n_ex=9959, eps=76.500, 17.93s
140: acc=3.33% acc_corr=3.34% avg#q_ae=5.99 med#q=1.0, avg_margin=-10.91, buff=19918, n_ex=9959, eps=76.500, 18.00s
141: acc=3.33% acc_corr=3.34% avg#q_ae=5.99 med#q=1.0, avg_margin=-10.91, buff=19918, n_ex=9959, eps=76.500, 18.07s
142: acc=3.26% acc_corr=3.27% avg#q_ae=6.09 med#q=1.0, avg_margin=-10.91, buff=19918, n_ex=9959, eps=76.500, 18.13s
143: acc=3.25% acc_corr=3.26% avg#q_ae=6.11 med#q=1.0, avg_margin=-10.91, buff=19918, n_ex=9959, eps=76.500, 18.20s
144: acc=3.24% acc_corr=3.25% avg#q_ae=6.12 med#q=1.0, avg_margin=-10.91, buff=19918, n_ex=9959, eps=76.500, 18.26s
145: acc=3.18% acc_corr=3.19% avg#q_ae=6.21 med#q=1.0, avg_margin=-10.91, buff=19918, n_ex=9959, eps=76.500, 18.31s
146: acc=3.17% acc_corr=3.18% avg#q_ae=6.23 med#q=1.0, avg_margin=-10.91, buff=19918, n_ex=9959, eps=76.500, 18.37s
147: acc=3.15% acc_corr=3.16% avg#q_ae=6.26 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.42s
148: acc=3.10% acc_corr=3.11% avg#q_ae=6.33 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.49s
149: acc=3.07% acc_corr=3.08% avg#q_ae=6.38 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.54s
150: acc=3.01% acc_corr=3.02% avg#q_ae=6.47 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.60s
151: acc=2.99% acc_corr=3.00% avg#q_ae=6.50 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.65s
152: acc=2.99% acc_corr=3.00% avg#q_ae=6.50 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.71s
153: acc=2.99% acc_corr=3.00% avg#q_ae=6.50 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.76s
154: acc=2.96% acc_corr=2.97% avg#q_ae=6.54 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.82s
155: acc=2.96% acc_corr=2.97% avg#q_ae=6.54 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.87s
156: acc=2.95% acc_corr=2.96% avg#q_ae=6.56 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.92s
157: acc=2.94% acc_corr=2.95% avg#q_ae=6.57 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 18.98s
158: acc=2.92% acc_corr=2.93% avg#q_ae=6.61 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 19.03s
159: acc=2.91% acc_corr=2.92% avg#q_ae=6.62 med#q=1.0, avg_margin=-10.92, buff=19918, n_ex=9959, eps=76.500, 19.09s
