2021-05-08_02-19-18_MIDA_IFTY0_easydlmnist_HRZ0_RND1__Eps3
93: acc=5.34% acc_corr=5.43% avg#q_ae=25.28 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 34659.29s
94: acc=5.25% acc_corr=5.34% avg#q_ae=25.35 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 34719.76s
95: acc=5.14% acc_corr=5.23% avg#q_ae=25.43 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 34780.37s
96: acc=5.04% acc_corr=5.12% avg#q_ae=25.51 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 34838.77s
97: acc=4.94% acc_corr=5.02% avg#q_ae=25.59 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 34895.67s
98: acc=4.83% acc_corr=4.91% avg#q_ae=25.67 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 34951.60s
99: acc=4.78% acc_corr=4.86% avg#q_ae=25.71 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 35140.84s
100: acc=4.57% acc_corr=4.65% avg#q_ae=25.89 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 35329.37s
101: acc=4.40% acc_corr=4.47% avg#q_ae=26.03 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 35387.89s
102: acc=4.33% acc_corr=4.40% avg#q_ae=26.08 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 35441.77s
103: acc=4.19% acc_corr=4.26% avg#q_ae=26.20 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 35494.85s
104: acc=4.13% acc_corr=4.20% avg#q_ae=26.25 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 35546.11s
105: acc=4.05% acc_corr=4.12% avg#q_ae=26.32 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 35591.51s
106: acc=3.95% acc_corr=4.02% avg#q_ae=26.41 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 35641.19s
107: acc=3.86% acc_corr=3.92% avg#q_ae=26.49 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 35692.87s
108: acc=3.79% acc_corr=3.85% avg#q_ae=26.55 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 35742.29s
109: acc=3.63% acc_corr=3.69% avg#q_ae=26.69 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 35786.41s
110: acc=3.51% acc_corr=3.57% avg#q_ae=26.80 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 35828.90s
111: acc=3.47% acc_corr=3.53% avg#q_ae=26.83 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 35868.64s
112: acc=3.39% acc_corr=3.45% avg#q_ae=26.91 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 35909.68s
113: acc=3.35% acc_corr=3.41% avg#q_ae=26.94 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 35949.60s
114: acc=3.24% acc_corr=3.29% avg#q_ae=27.05 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 35988.94s
115: acc=3.12% acc_corr=3.17% avg#q_ae=27.16 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36024.58s
116: acc=3.07% acc_corr=3.12% avg#q_ae=27.21 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36065.30s
