2021-05-05_00-17-17_EXACT_IFTY0_densenet_HRZ0_RND1__Eps3
112: acc=29.26% acc_corr=29.42% avg#q_ae=43.72 med#q=53.0, avg_margin=0.34, buff=19892, n_ex=9946, eps=3.000, 560.61s
113: acc=28.92% acc_corr=29.08% avg#q_ae=44.07 med#q=53.0, avg_margin=0.33, buff=19892, n_ex=9946, eps=3.000, 560.90s
114: acc=28.70% acc_corr=28.86% avg#q_ae=44.29 med#q=53.0, avg_margin=0.32, buff=19892, n_ex=9946, eps=3.000, 561.17s
115: acc=28.42% acc_corr=28.57% avg#q_ae=44.58 med#q=53.0, avg_margin=0.31, buff=19892, n_ex=9946, eps=3.000, 561.45s
116: acc=28.07% acc_corr=28.22% avg#q_ae=44.94 med#q=53.0, avg_margin=0.30, buff=19892, n_ex=9946, eps=3.000, 561.73s
117: acc=27.95% acc_corr=28.10% avg#q_ae=45.06 med#q=53.0, avg_margin=0.30, buff=19892, n_ex=9946, eps=3.000, 562.26s
118: acc=27.76% acc_corr=27.91% avg#q_ae=45.26 med#q=53.0, avg_margin=0.28, buff=19892, n_ex=9946, eps=3.000, 562.54s
119: acc=27.52% acc_corr=27.67% avg#q_ae=45.51 med#q=53.0, avg_margin=0.27, buff=19892, n_ex=9946, eps=3.000, 562.80s
120: acc=27.40% acc_corr=27.55% avg#q_ae=45.64 med#q=53.0, avg_margin=0.27, buff=19892, n_ex=9946, eps=3.000, 563.07s
121: acc=27.26% acc_corr=27.41% avg#q_ae=45.79 med#q=53.0, avg_margin=0.26, buff=19892, n_ex=9946, eps=3.000, 563.33s
122: acc=27.16% acc_corr=27.31% avg#q_ae=45.90 med#q=53.0, avg_margin=0.26, buff=19892, n_ex=9946, eps=3.000, 563.59s
123: acc=26.80% acc_corr=26.95% avg#q_ae=46.29 med#q=53.0, avg_margin=0.24, buff=19892, n_ex=9946, eps=3.000, 563.86s
124: acc=26.52% acc_corr=26.66% avg#q_ae=46.60 med#q=53.0, avg_margin=0.23, buff=19892, n_ex=9946, eps=3.000, 564.11s
125: acc=26.36% acc_corr=26.50% avg#q_ae=46.77 med#q=53.0, avg_margin=0.23, buff=19892, n_ex=9946, eps=3.000, 564.37s
126: acc=26.24% acc_corr=26.38% avg#q_ae=46.90 med#q=53.0, avg_margin=0.22, buff=19892, n_ex=9946, eps=3.000, 564.62s
127: acc=26.00% acc_corr=26.14% avg#q_ae=47.17 med#q=53.0, avg_margin=0.22, buff=19892, n_ex=9946, eps=3.000, 564.87s
128: acc=25.81% acc_corr=25.95% avg#q_ae=47.39 med#q=53.0, avg_margin=0.21, buff=19892, n_ex=9946, eps=3.000, 565.12s
129: acc=25.53% acc_corr=25.67% avg#q_ae=47.70 med#q=53.0, avg_margin=0.20, buff=19892, n_ex=9946, eps=3.000, 565.37s
130: acc=25.32% acc_corr=25.46% avg#q_ae=47.94 med#q=53.0, avg_margin=0.19, buff=19892, n_ex=9946, eps=3.000, 565.62s
131: acc=25.11% acc_corr=25.25% avg#q_ae=48.18 med#q=53.0, avg_margin=0.19, buff=19892, n_ex=9946, eps=3.000, 565.86s
132: acc=24.91% acc_corr=25.05% avg#q_ae=48.41 med#q=53.0, avg_margin=0.18, buff=19892, n_ex=9946, eps=3.000, 566.10s
133: acc=24.44% acc_corr=24.57% avg#q_ae=48.96 med#q=53.0, avg_margin=0.17, buff=19892, n_ex=9946, eps=3.000, 566.35s
134: acc=24.18% acc_corr=24.31% avg#q_ae=49.26 med#q=53.0, avg_margin=0.16, buff=19892, n_ex=9946, eps=3.000, 566.58s
135: acc=24.08% acc_corr=24.21% avg#q_ae=49.37 med#q=53.0, avg_margin=0.15, buff=19892, n_ex=9946, eps=3.000, 566.81s
136: acc=23.72% acc_corr=23.85% avg#q_ae=49.79 med#q=53.0, avg_margin=0.14, buff=19892, n_ex=9946, eps=3.000, 567.05s
137: acc=23.60% acc_corr=23.73% avg#q_ae=49.93 med#q=53.0, avg_margin=0.14, buff=19892, n_ex=9946, eps=3.000, 567.27s
138: acc=23.45% acc_corr=23.58% avg#q_ae=50.11 med#q=53.0, avg_margin=0.13, buff=19892, n_ex=9946, eps=3.000, 567.50s
139: acc=23.43% acc_corr=23.56% avg#q_ae=50.14 med#q=53.0, avg_margin=0.13, buff=19892, n_ex=9946, eps=3.000, 567.72s
140: acc=23.11% acc_corr=23.24% avg#q_ae=50.52 med#q=53.0, avg_margin=0.11, buff=19892, n_ex=9946, eps=3.000, 567.95s
141: acc=22.87% acc_corr=22.99% avg#q_ae=50.81 med#q=53.0, avg_margin=0.10, buff=19892, n_ex=9946, eps=3.000, 568.17s
142: acc=22.73% acc_corr=22.85% avg#q_ae=50.98 med#q=53.0, avg_margin=0.10, buff=19892, n_ex=9946, eps=3.000, 568.39s
143: acc=22.59% acc_corr=22.71% avg#q_ae=51.15 med#q=53.0, avg_margin=0.09, buff=19892, n_ex=9946, eps=3.000, 568.62s
