2021-05-05_00-13-12_EXACT_IFTY1_wrn_HRZ0_RND1__Eps76
135: acc=12.51% acc_corr=12.58% avg#q_ae=32.07 med#q=28.0, avg_margin=-0.22, buff=19882, n_ex=9941, eps=76.500, 128.91s
136: acc=12.36% acc_corr=12.43% avg#q_ae=32.25 med#q=28.0, avg_margin=-0.23, buff=19882, n_ex=9941, eps=76.500, 129.13s
137: acc=12.24% acc_corr=12.31% avg#q_ae=32.40 med#q=28.0, avg_margin=-0.23, buff=19882, n_ex=9941, eps=76.500, 129.33s
138: acc=12.14% acc_corr=12.21% avg#q_ae=32.52 med#q=28.0, avg_margin=-0.23, buff=19882, n_ex=9941, eps=76.500, 129.54s
139: acc=12.06% acc_corr=12.13% avg#q_ae=32.62 med#q=28.0, avg_margin=-0.23, buff=19882, n_ex=9941, eps=76.500, 129.75s
140: acc=11.99% acc_corr=12.06% avg#q_ae=32.71 med#q=28.0, avg_margin=-0.24, buff=19882, n_ex=9941, eps=76.500, 129.95s
141: acc=11.96% acc_corr=12.03% avg#q_ae=32.75 med#q=28.0, avg_margin=-0.24, buff=19882, n_ex=9941, eps=76.500, 130.15s
142: acc=11.87% acc_corr=11.94% avg#q_ae=32.86 med#q=28.0, avg_margin=-0.24, buff=19882, n_ex=9941, eps=76.500, 130.34s
143: acc=11.78% acc_corr=11.85% avg#q_ae=32.98 med#q=28.0, avg_margin=-0.24, buff=19882, n_ex=9941, eps=76.500, 130.54s
144: acc=11.69% acc_corr=11.76% avg#q_ae=33.09 med#q=28.0, avg_margin=-0.25, buff=19882, n_ex=9941, eps=76.500, 130.74s
145: acc=11.67% acc_corr=11.74% avg#q_ae=33.12 med#q=28.0, avg_margin=-0.25, buff=19882, n_ex=9941, eps=76.500, 130.94s
146: acc=11.50% acc_corr=11.57% avg#q_ae=33.34 med#q=28.0, avg_margin=-0.25, buff=19882, n_ex=9941, eps=76.500, 131.14s
147: acc=11.39% acc_corr=11.46% avg#q_ae=33.49 med#q=28.0, avg_margin=-0.25, buff=19882, n_ex=9941, eps=76.500, 131.36s
148: acc=11.33% acc_corr=11.40% avg#q_ae=33.57 med#q=28.0, avg_margin=-0.26, buff=19882, n_ex=9941, eps=76.500, 131.58s
149: acc=11.17% acc_corr=11.24% avg#q_ae=33.78 med#q=28.0, avg_margin=-0.26, buff=19882, n_ex=9941, eps=76.500, 131.77s
150: acc=11.15% acc_corr=11.22% avg#q_ae=33.81 med#q=28.0, avg_margin=-0.26, buff=19882, n_ex=9941, eps=76.500, 131.96s
151: acc=11.06% acc_corr=11.13% avg#q_ae=33.93 med#q=28.0, avg_margin=-0.27, buff=19882, n_ex=9941, eps=76.500, 132.14s
152: acc=11.01% acc_corr=11.08% avg#q_ae=34.00 med#q=28.0, avg_margin=-0.27, buff=19882, n_ex=9941, eps=76.500, 132.33s
153: acc=10.91% acc_corr=10.97% avg#q_ae=34.13 med#q=28.0, avg_margin=-0.27, buff=19882, n_ex=9941, eps=76.500, 132.51s
154: acc=10.77% acc_corr=10.83% avg#q_ae=34.33 med#q=28.0, avg_margin=-0.27, buff=19882, n_ex=9941, eps=76.500, 132.70s
155: acc=10.71% acc_corr=10.77% avg#q_ae=34.41 med#q=28.0, avg_margin=-0.27, buff=19882, n_ex=9941, eps=76.500, 132.89s
156: acc=10.64% acc_corr=10.70% avg#q_ae=34.51 med#q=28.0, avg_margin=-0.27, buff=19882, n_ex=9941, eps=76.500, 133.07s
157: acc=10.45% acc_corr=10.51% avg#q_ae=34.77 med#q=28.0, avg_margin=-0.28, buff=19882, n_ex=9941, eps=76.500, 133.24s
158: acc=10.37% acc_corr=10.43% avg#q_ae=34.88 med#q=28.0, avg_margin=-0.28, buff=19882, n_ex=9941, eps=76.500, 133.42s
159: acc=10.11% acc_corr=10.17% avg#q_ae=35.25 med#q=28.0, avg_margin=-0.28, buff=19882, n_ex=9941, eps=76.500, 133.59s
160: acc=10.02% acc_corr=10.08% avg#q_ae=35.38 med#q=28.0, avg_margin=-0.29, buff=19882, n_ex=9941, eps=76.500, 133.76s
161: acc=9.94% acc_corr=10.00% avg#q_ae=35.49 med#q=28.0, avg_margin=-0.29, buff=19882, n_ex=9941, eps=76.500, 133.92s
162: acc=9.94% acc_corr=10.00% avg#q_ae=35.49 med#q=28.0, avg_margin=-0.29, buff=19882, n_ex=9941, eps=76.500, 134.09s
163: acc=9.88% acc_corr=9.94% avg#q_ae=35.58 med#q=28.0, avg_margin=-0.29, buff=19882, n_ex=9941, eps=76.500, 134.26s
164: acc=9.84% acc_corr=9.90% avg#q_ae=35.64 med#q=28.0, avg_margin=-0.29, buff=19882, n_ex=9941, eps=76.500, 134.43s
165: acc=9.77% acc_corr=9.83% avg#q_ae=35.74 med#q=28.0, avg_margin=-0.29, buff=19882, n_ex=9941, eps=76.500, 134.60s
166: acc=9.74% acc_corr=9.80% avg#q_ae=35.78 med#q=28.0, avg_margin=-0.29, buff=19882, n_ex=9941, eps=76.500, 134.77s
167: acc=9.67% acc_corr=9.73% avg#q_ae=35.89 med#q=28.0, avg_margin=-0.30, buff=19882, n_ex=9941, eps=76.500, 134.93s
168: acc=9.58% acc_corr=9.64% avg#q_ae=36.02 med#q=28.0, avg_margin=-0.30, buff=19882, n_ex=9941, eps=76.500, 135.10s
169: acc=9.50% acc_corr=9.56% avg#q_ae=36.14 med#q=28.0, avg_margin=-0.30, buff=19882, n_ex=9941, eps=76.500, 135.25s
170: acc=9.47% acc_corr=9.53% avg#q_ae=36.19 med#q=28.0, avg_margin=-0.30, buff=19882, n_ex=9941, eps=76.500, 135.42s
171: acc=9.44% acc_corr=9.50% avg#q_ae=36.23 med#q=28.0, avg_margin=-0.31, buff=19882, n_ex=9941, eps=76.500, 135.59s
172: acc=9.34% acc_corr=9.40% avg#q_ae=36.39 med#q=28.0, avg_margin=-0.31, buff=19882, n_ex=9941, eps=76.500, 135.75s
173: acc=9.29% acc_corr=9.35% avg#q_ae=36.46 med#q=28.0, avg_margin=-0.31, buff=19882, n_ex=9941, eps=76.500, 135.90s
174: acc=9.21% acc_corr=9.26% avg#q_ae=36.59 med#q=28.0, avg_margin=-0.31, buff=19882, n_ex=9941, eps=76.500, 136.06s
175: acc=9.19% acc_corr=9.24% avg#q_ae=36.62 med#q=28.0, avg_margin=-0.31, buff=19882, n_ex=9941, eps=76.500, 136.21s
176: acc=9.15% acc_corr=9.20% avg#q_ae=36.68 med#q=28.0, avg_margin=-0.31, buff=19882, n_ex=9941, eps=76.500, 136.37s
177: acc=9.10% acc_corr=9.15% avg#q_ae=36.76 med#q=28.0, avg_margin=-0.32, buff=19882, n_ex=9941, eps=76.500, 136.52s
178: acc=9.08% acc_corr=9.13% avg#q_ae=36.79 med#q=28.0, avg_margin=-0.32, buff=19882, n_ex=9941, eps=76.500, 136.67s
179: acc=9.06% acc_corr=9.11% avg#q_ae=36.82 med#q=28.0, avg_margin=-0.32, buff=19882, n_ex=9941, eps=76.500, 136.82s
180: acc=8.99% acc_corr=9.04% avg#q_ae=36.94 med#q=28.0, avg_margin=-0.32, buff=19882, n_ex=9941, eps=76.500, 136.98s
