2021-05-05_00-21-17_EXACT_IFTY0_wrn_HRZ0_RND1__Eps3
141: acc=26.36% acc_corr=26.52% avg#q_ae=47.79 med#q=58.0, avg_margin=0.20, buff=19882, n_ex=9941, eps=3.000, 919.03s
142: acc=26.23% acc_corr=26.39% avg#q_ae=47.96 med#q=58.0, avg_margin=0.19, buff=19882, n_ex=9941, eps=3.000, 919.46s
143: acc=26.16% acc_corr=26.32% avg#q_ae=48.05 med#q=58.0, avg_margin=0.19, buff=19882, n_ex=9941, eps=3.000, 919.88s
144: acc=25.90% acc_corr=26.05% avg#q_ae=48.40 med#q=58.0, avg_margin=0.18, buff=19882, n_ex=9941, eps=3.000, 920.30s
145: acc=25.71% acc_corr=25.86% avg#q_ae=48.65 med#q=58.0, avg_margin=0.18, buff=19882, n_ex=9941, eps=3.000, 920.72s
146: acc=25.66% acc_corr=25.81% avg#q_ae=48.72 med#q=58.0, avg_margin=0.17, buff=19882, n_ex=9941, eps=3.000, 921.13s
147: acc=25.19% acc_corr=25.34% avg#q_ae=49.36 med#q=58.0, avg_margin=0.16, buff=19882, n_ex=9941, eps=3.000, 921.55s
148: acc=24.97% acc_corr=25.12% avg#q_ae=49.65 med#q=58.0, avg_margin=0.16, buff=19882, n_ex=9941, eps=3.000, 921.96s
149: acc=24.83% acc_corr=24.98% avg#q_ae=49.84 med#q=58.0, avg_margin=0.15, buff=19882, n_ex=9941, eps=3.000, 922.48s
150: acc=24.64% acc_corr=24.79% avg#q_ae=50.10 med#q=58.0, avg_margin=0.15, buff=19882, n_ex=9941, eps=3.000, 922.97s
151: acc=24.59% acc_corr=24.74% avg#q_ae=50.17 med#q=58.0, avg_margin=0.15, buff=19882, n_ex=9941, eps=3.000, 923.33s
152: acc=24.50% acc_corr=24.65% avg#q_ae=50.30 med#q=58.0, avg_margin=0.14, buff=19882, n_ex=9941, eps=3.000, 923.69s
153: acc=24.20% acc_corr=24.34% avg#q_ae=50.72 med#q=58.0, avg_margin=0.13, buff=19882, n_ex=9941, eps=3.000, 924.05s
154: acc=24.10% acc_corr=24.24% avg#q_ae=50.86 med#q=58.0, avg_margin=0.13, buff=19882, n_ex=9941, eps=3.000, 924.40s
155: acc=23.90% acc_corr=24.04% avg#q_ae=51.14 med#q=58.0, avg_margin=0.13, buff=19882, n_ex=9941, eps=3.000, 924.75s
156: acc=23.82% acc_corr=23.96% avg#q_ae=51.25 med#q=58.0, avg_margin=0.12, buff=19882, n_ex=9941, eps=3.000, 925.09s
157: acc=23.72% acc_corr=23.86% avg#q_ae=51.39 med#q=58.0, avg_margin=0.12, buff=19882, n_ex=9941, eps=3.000, 925.43s
158: acc=23.55% acc_corr=23.69% avg#q_ae=51.64 med#q=58.0, avg_margin=0.12, buff=19882, n_ex=9941, eps=3.000, 925.78s
159: acc=23.40% acc_corr=23.54% avg#q_ae=51.85 med#q=58.0, avg_margin=0.11, buff=19882, n_ex=9941, eps=3.000, 926.12s
160: acc=23.28% acc_corr=23.42% avg#q_ae=52.02 med#q=58.0, avg_margin=0.11, buff=19882, n_ex=9941, eps=3.000, 926.46s
161: acc=23.10% acc_corr=23.24% avg#q_ae=52.29 med#q=58.0, avg_margin=0.10, buff=19882, n_ex=9941, eps=3.000, 926.79s
162: acc=22.98% acc_corr=23.12% avg#q_ae=52.46 med#q=58.0, avg_margin=0.10, buff=19882, n_ex=9941, eps=3.000, 927.13s
163: acc=22.89% acc_corr=23.03% avg#q_ae=52.59 med#q=58.0, avg_margin=0.10, buff=19882, n_ex=9941, eps=3.000, 927.46s
164: acc=22.78% acc_corr=22.92% avg#q_ae=52.76 med#q=58.0, avg_margin=0.09, buff=19882, n_ex=9941, eps=3.000, 927.80s
165: acc=22.62% acc_corr=22.75% avg#q_ae=53.00 med#q=58.0, avg_margin=0.09, buff=19882, n_ex=9941, eps=3.000, 928.13s
166: acc=22.53% acc_corr=22.66% avg#q_ae=53.13 med#q=58.0, avg_margin=0.09, buff=19882, n_ex=9941, eps=3.000, 928.45s
167: acc=22.42% acc_corr=22.55% avg#q_ae=53.30 med#q=58.0, avg_margin=0.08, buff=19882, n_ex=9941, eps=3.000, 928.78s
168: acc=22.38% acc_corr=22.51% avg#q_ae=53.36 med#q=58.0, avg_margin=0.08, buff=19882, n_ex=9941, eps=3.000, 929.10s
169: acc=22.21% acc_corr=22.34% avg#q_ae=53.61 med#q=58.0, avg_margin=0.08, buff=19882, n_ex=9941, eps=3.000, 929.42s
170: acc=22.16% acc_corr=22.29% avg#q_ae=53.69 med#q=58.0, avg_margin=0.08, buff=19882, n_ex=9941, eps=3.000, 929.74s
171: acc=21.98% acc_corr=22.11% avg#q_ae=53.97 med#q=58.0, avg_margin=0.07, buff=19882, n_ex=9941, eps=3.000, 930.06s
172: acc=21.86% acc_corr=21.99% avg#q_ae=54.15 med#q=58.0, avg_margin=0.07, buff=19882, n_ex=9941, eps=3.000, 930.38s
173: acc=21.63% acc_corr=21.76% avg#q_ae=54.51 med#q=58.0, avg_margin=0.06, buff=19882, n_ex=9941, eps=3.000, 930.70s
174: acc=21.52% acc_corr=21.65% avg#q_ae=54.68 med#q=58.0, avg_margin=0.06, buff=19882, n_ex=9941, eps=3.000, 931.02s
175: acc=21.25% acc_corr=21.38% avg#q_ae=55.11 med#q=58.0, avg_margin=0.05, buff=19882, n_ex=9941, eps=3.000, 931.33s
176: acc=21.15% acc_corr=21.28% avg#q_ae=55.26 med#q=58.0, avg_margin=0.05, buff=19882, n_ex=9941, eps=3.000, 931.64s
177: acc=20.90% acc_corr=21.02% avg#q_ae=55.66 med#q=58.0, avg_margin=0.05, buff=19882, n_ex=9941, eps=3.000, 931.95s
178: acc=20.84% acc_corr=20.96% avg#q_ae=55.75 med#q=58.0, avg_margin=0.04, buff=19882, n_ex=9941, eps=3.000, 932.25s
179: acc=20.68% acc_corr=20.80% avg#q_ae=56.01 med#q=58.0, avg_margin=0.04, buff=19882, n_ex=9941, eps=3.000, 932.55s
180: acc=20.57% acc_corr=20.69% avg#q_ae=56.18 med#q=58.0, avg_margin=0.04, buff=19882, n_ex=9941, eps=3.000, 932.85s
181: acc=20.44% acc_corr=20.56% avg#q_ae=56.39 med#q=58.0, avg_margin=0.03, buff=19882, n_ex=9941, eps=3.000, 933.15s
