2021-05-05_00-14-46_EXACT_IFTY0_resnet_preact_HRZ0_RND1__Eps3
106: acc=45.14% acc_corr=45.33% avg#q_ae=41.32 med#q=90.0, avg_margin=1.45, buff=19918, n_ex=9959, eps=3.000, 613.17s
107: acc=44.97% acc_corr=45.16% avg#q_ae=41.53 med#q=90.0, avg_margin=1.44, buff=19918, n_ex=9959, eps=3.000, 613.84s
108: acc=44.62% acc_corr=44.80% avg#q_ae=41.97 med#q=90.0, avg_margin=1.42, buff=19918, n_ex=9959, eps=3.000, 614.51s
109: acc=44.41% acc_corr=44.59% avg#q_ae=42.23 med#q=90.0, avg_margin=1.41, buff=19918, n_ex=9959, eps=3.000, 615.17s
110: acc=44.24% acc_corr=44.42% avg#q_ae=42.44 med#q=90.0, avg_margin=1.40, buff=19918, n_ex=9959, eps=3.000, 615.83s
111: acc=44.24% acc_corr=44.42% avg#q_ae=42.44 med#q=90.0, avg_margin=1.39, buff=19918, n_ex=9959, eps=3.000, 616.47s
112: acc=44.10% acc_corr=44.28% avg#q_ae=42.62 med#q=90.0, avg_margin=1.39, buff=19918, n_ex=9959, eps=3.000, 617.13s
113: acc=43.92% acc_corr=44.10% avg#q_ae=42.86 med#q=90.0, avg_margin=1.38, buff=19918, n_ex=9959, eps=3.000, 617.77s
114: acc=43.88% acc_corr=44.06% avg#q_ae=42.91 med#q=90.0, avg_margin=1.37, buff=19918, n_ex=9959, eps=3.000, 618.43s
115: acc=43.63% acc_corr=43.81% avg#q_ae=43.24 med#q=90.0, avg_margin=1.36, buff=19918, n_ex=9959, eps=3.000, 619.08s
116: acc=43.60% acc_corr=43.78% avg#q_ae=43.28 med#q=90.0, avg_margin=1.36, buff=19918, n_ex=9959, eps=3.000, 619.72s
117: acc=43.50% acc_corr=43.68% avg#q_ae=43.42 med#q=90.0, avg_margin=1.35, buff=19918, n_ex=9959, eps=3.000, 620.36s
118: acc=43.46% acc_corr=43.64% avg#q_ae=43.47 med#q=90.0, avg_margin=1.35, buff=19918, n_ex=9959, eps=3.000, 620.99s
119: acc=43.16% acc_corr=43.34% avg#q_ae=43.88 med#q=90.0, avg_margin=1.33, buff=19918, n_ex=9959, eps=3.000, 621.64s
120: acc=42.95% acc_corr=43.13% avg#q_ae=44.17 med#q=90.0, avg_margin=1.32, buff=19918, n_ex=9959, eps=3.000, 622.30s
121: acc=42.89% acc_corr=43.07% avg#q_ae=44.26 med#q=90.0, avg_margin=1.32, buff=19918, n_ex=9959, eps=3.000, 622.92s
122: acc=42.87% acc_corr=43.05% avg#q_ae=44.28 med#q=90.0, avg_margin=1.32, buff=19918, n_ex=9959, eps=3.000, 623.55s
123: acc=42.50% acc_corr=42.67% avg#q_ae=44.81 med#q=90.0, avg_margin=1.30, buff=19918, n_ex=9959, eps=3.000, 624.17s
124: acc=42.34% acc_corr=42.51% avg#q_ae=45.03 med#q=90.0, avg_margin=1.29, buff=19918, n_ex=9959, eps=3.000, 624.81s
125: acc=42.16% acc_corr=42.33% avg#q_ae=45.29 med#q=90.0, avg_margin=1.28, buff=19918, n_ex=9959, eps=3.000, 625.45s
126: acc=41.96% acc_corr=42.13% avg#q_ae=45.58 med#q=90.0, avg_margin=1.26, buff=19918, n_ex=9959, eps=3.000, 626.06s
127: acc=41.90% acc_corr=42.07% avg#q_ae=45.67 med#q=90.0, avg_margin=1.26, buff=19918, n_ex=9959, eps=3.000, 626.69s
128: acc=41.77% acc_corr=41.94% avg#q_ae=45.85 med#q=90.0, avg_margin=1.25, buff=19918, n_ex=9959, eps=3.000, 627.33s
129: acc=41.66% acc_corr=41.83% avg#q_ae=46.02 med#q=90.0, avg_margin=1.25, buff=19918, n_ex=9959, eps=3.000, 627.94s
130: acc=41.47% acc_corr=41.64% avg#q_ae=46.30 med#q=90.0, avg_margin=1.24, buff=19918, n_ex=9959, eps=3.000, 628.56s
131: acc=41.43% acc_corr=41.60% avg#q_ae=46.36 med#q=90.0, avg_margin=1.23, buff=19918, n_ex=9959, eps=3.000, 629.16s
132: acc=41.33% acc_corr=41.50% avg#q_ae=46.51 med#q=90.0, avg_margin=1.23, buff=19918, n_ex=9959, eps=3.000, 629.77s
133: acc=41.16% acc_corr=41.33% avg#q_ae=46.77 med#q=90.0, avg_margin=1.22, buff=19918, n_ex=9959, eps=3.000, 630.38s
134: acc=41.05% acc_corr=41.22% avg#q_ae=46.93 med#q=90.0, avg_margin=1.21, buff=19918, n_ex=9959, eps=3.000, 631.00s
135: acc=40.75% acc_corr=40.92% avg#q_ae=47.39 med#q=90.0, avg_margin=1.20, buff=19918, n_ex=9959, eps=3.000, 631.61s
136: acc=40.42% acc_corr=40.59% avg#q_ae=47.90 med#q=90.0, avg_margin=1.18, buff=19918, n_ex=9959, eps=3.000, 632.21s
137: acc=40.31% acc_corr=40.48% avg#q_ae=48.07 med#q=90.0, avg_margin=1.17, buff=19918, n_ex=9959, eps=3.000, 632.81s
138: acc=39.87% acc_corr=40.03% avg#q_ae=48.74 med#q=90.0, avg_margin=1.14, buff=19918, n_ex=9959, eps=3.000, 633.41s
139: acc=39.58% acc_corr=39.74% avg#q_ae=49.19 med#q=90.0, avg_margin=1.12, buff=19918, n_ex=9959, eps=3.000, 633.99s
140: acc=39.31% acc_corr=39.47% avg#q_ae=49.61 med#q=90.0, avg_margin=1.10, buff=19918, n_ex=9959, eps=3.000, 634.58s
141: acc=39.06% acc_corr=39.22% avg#q_ae=49.99 med#q=90.0, avg_margin=1.09, buff=19918, n_ex=9959, eps=3.000, 635.18s
142: acc=38.85% acc_corr=39.01% avg#q_ae=50.32 med#q=90.0, avg_margin=1.08, buff=19918, n_ex=9959, eps=3.000, 635.75s
143: acc=38.82% acc_corr=38.98% avg#q_ae=50.36 med#q=90.0, avg_margin=1.08, buff=19918, n_ex=9959, eps=3.000, 636.32s
144: acc=38.75% acc_corr=38.91% avg#q_ae=50.47 med#q=90.0, avg_margin=1.07, buff=19918, n_ex=9959, eps=3.000, 636.89s
145: acc=38.73% acc_corr=38.89% avg#q_ae=50.50 med#q=90.0, avg_margin=1.07, buff=19918, n_ex=9959, eps=3.000, 637.46s
146: acc=38.63% acc_corr=38.79% avg#q_ae=50.66 med#q=90.0, avg_margin=1.06, buff=19918, n_ex=9959, eps=3.000, 638.05s
147: acc=38.53% acc_corr=38.69% avg#q_ae=50.83 med#q=90.0, avg_margin=1.06, buff=19918, n_ex=9959, eps=3.000, 640.71s
148: acc=38.34% acc_corr=38.50% avg#q_ae=51.13 med#q=90.0, avg_margin=1.05, buff=19918, n_ex=9959, eps=3.000, 641.28s
149: acc=38.16% acc_corr=38.32% avg#q_ae=51.43 med#q=90.0, avg_margin=1.04, buff=19918, n_ex=9959, eps=3.000, 641.85s
150: acc=37.99% acc_corr=38.15% avg#q_ae=51.70 med#q=90.0, avg_margin=1.03, buff=19918, n_ex=9959, eps=3.000, 642.41s
151: acc=37.88% acc_corr=38.04% avg#q_ae=51.88 med#q=90.0, avg_margin=1.02, buff=19918, n_ex=9959, eps=3.000, 642.97s
152: acc=37.48% acc_corr=37.63% avg#q_ae=52.54 med#q=90.0, avg_margin=1.01, buff=19918, n_ex=9959, eps=3.000, 643.54s
153: acc=37.25% acc_corr=37.40% avg#q_ae=52.92 med#q=90.0, avg_margin=0.99, buff=19918, n_ex=9959, eps=3.000, 644.11s
154: acc=36.94% acc_corr=37.09% avg#q_ae=53.43 med#q=90.0, avg_margin=0.98, buff=19918, n_ex=9959, eps=3.000, 644.66s
155: acc=36.80% acc_corr=36.95% avg#q_ae=53.66 med#q=90.0, avg_margin=0.97, buff=19918, n_ex=9959, eps=3.000, 645.20s
156: acc=36.56% acc_corr=36.71% avg#q_ae=54.06 med#q=90.0, avg_margin=0.96, buff=19918, n_ex=9959, eps=3.000, 645.75s
157: acc=36.51% acc_corr=36.66% avg#q_ae=54.14 med#q=90.0, avg_margin=0.96, buff=19918, n_ex=9959, eps=3.000, 646.29s
158: acc=36.33% acc_corr=36.48% avg#q_ae=54.44 med#q=90.0, avg_margin=0.95, buff=19918, n_ex=9959, eps=3.000, 646.84s
159: acc=36.22% acc_corr=36.37% avg#q_ae=54.63 med#q=90.0, avg_margin=0.94, buff=19918, n_ex=9959, eps=3.000, 647.40s
160: acc=36.09% acc_corr=36.24% avg#q_ae=54.85 med#q=90.0, avg_margin=0.94, buff=19918, n_ex=9959, eps=3.000, 647.95s
161: acc=35.98% acc_corr=36.13% avg#q_ae=55.03 med#q=90.0, avg_margin=0.93, buff=19918, n_ex=9959, eps=3.000, 648.51s
162: acc=35.74% acc_corr=35.89% avg#q_ae=55.44 med#q=90.0, avg_margin=0.92, buff=19918, n_ex=9959, eps=3.000, 649.05s
163: acc=35.56% acc_corr=35.71% avg#q_ae=55.75 med#q=90.0, avg_margin=0.91, buff=19918, n_ex=9959, eps=3.000, 649.58s
164: acc=35.45% acc_corr=35.60% avg#q_ae=55.94 med#q=90.0, avg_margin=0.91, buff=19918, n_ex=9959, eps=3.000, 650.10s
165: acc=35.42% acc_corr=35.57% avg#q_ae=55.99 med#q=90.0, avg_margin=0.91, buff=19918, n_ex=9959, eps=3.000, 650.62s
166: acc=35.15% acc_corr=35.29% avg#q_ae=56.46 med#q=90.0, avg_margin=0.89, buff=19918, n_ex=9959, eps=3.000, 651.14s
167: acc=35.06% acc_corr=35.20% avg#q_ae=56.62 med#q=90.0, avg_margin=0.89, buff=19918, n_ex=9959, eps=3.000, 651.67s
168: acc=34.93% acc_corr=35.07% avg#q_ae=56.85 med#q=90.0, avg_margin=0.88, buff=19918, n_ex=9959, eps=3.000, 652.21s
169: acc=34.76% acc_corr=34.90% avg#q_ae=57.15 med#q=90.0, avg_margin=0.87, buff=19918, n_ex=9959, eps=3.000, 652.73s
170: acc=34.63% acc_corr=34.77% avg#q_ae=57.38 med#q=90.0, avg_margin=0.86, buff=19918, n_ex=9959, eps=3.000, 653.24s
171: acc=34.30% acc_corr=34.44% avg#q_ae=57.96 med#q=90.0, avg_margin=0.85, buff=19918, n_ex=9959, eps=3.000, 653.75s
172: acc=34.09% acc_corr=34.23% avg#q_ae=58.33 med#q=90.0, avg_margin=0.83, buff=19918, n_ex=9959, eps=3.000, 654.26s
173: acc=33.83% acc_corr=33.97% avg#q_ae=58.79 med#q=90.0, avg_margin=0.82, buff=19918, n_ex=9959, eps=3.000, 654.78s
174: acc=33.71% acc_corr=33.85% avg#q_ae=59.01 med#q=90.0, avg_margin=0.81, buff=19918, n_ex=9959, eps=3.000, 655.28s
175: acc=33.49% acc_corr=33.63% avg#q_ae=59.40 med#q=90.0, avg_margin=0.80, buff=19918, n_ex=9959, eps=3.000, 655.78s
176: acc=33.42% acc_corr=33.56% avg#q_ae=59.53 med#q=90.0, avg_margin=0.79, buff=19918, n_ex=9959, eps=3.000, 656.27s
177: acc=32.99% acc_corr=33.13% avg#q_ae=60.30 med#q=90.0, avg_margin=0.77, buff=19918, n_ex=9959, eps=3.000, 656.79s
178: acc=32.93% acc_corr=33.07% avg#q_ae=60.40 med#q=90.0, avg_margin=0.77, buff=19918, n_ex=9959, eps=3.000, 657.29s
179: acc=32.85% acc_corr=32.99% avg#q_ae=60.55 med#q=90.0, avg_margin=0.76, buff=19918, n_ex=9959, eps=3.000, 657.78s
180: acc=32.78% acc_corr=32.91% avg#q_ae=60.68 med#q=90.0, avg_margin=0.76, buff=19918, n_ex=9959, eps=3.000, 658.26s
181: acc=32.68% acc_corr=32.81% avg#q_ae=60.86 med#q=90.0, avg_margin=0.75, buff=19918, n_ex=9959, eps=3.000, 658.76s
