2021-05-05_00-12-41_EXACT_IFTY1_densenet_HRZ0_RND1__Eps76
119: acc=8.41% acc_corr=8.46% avg#q_ae=29.62 med#q=22.0, avg_margin=-0.49, buff=19892, n_ex=9946, eps=76.500, 94.86s
120: acc=8.25% acc_corr=8.29% avg#q_ae=29.78 med#q=22.0, avg_margin=-0.49, buff=19892, n_ex=9946, eps=76.500, 94.96s
121: acc=8.12% acc_corr=8.16% avg#q_ae=29.92 med#q=22.0, avg_margin=-0.50, buff=19892, n_ex=9946, eps=76.500, 95.06s
122: acc=8.05% acc_corr=8.09% avg#q_ae=29.99 med#q=22.0, avg_margin=-0.50, buff=19892, n_ex=9946, eps=76.500, 95.17s
123: acc=7.99% acc_corr=8.03% avg#q_ae=30.05 med#q=22.0, avg_margin=-0.51, buff=19892, n_ex=9946, eps=76.500, 95.27s
124: acc=7.93% acc_corr=7.97% avg#q_ae=30.11 med#q=22.0, avg_margin=-0.51, buff=19892, n_ex=9946, eps=76.500, 95.37s
125: acc=7.76% acc_corr=7.80% avg#q_ae=30.29 med#q=22.0, avg_margin=-0.52, buff=19892, n_ex=9946, eps=76.500, 95.47s
126: acc=7.66% acc_corr=7.70% avg#q_ae=30.40 med#q=22.0, avg_margin=-0.52, buff=19892, n_ex=9946, eps=76.500, 95.56s
127: acc=7.65% acc_corr=7.69% avg#q_ae=30.41 med#q=22.0, avg_margin=-0.52, buff=19892, n_ex=9946, eps=76.500, 95.65s
128: acc=7.59% acc_corr=7.63% avg#q_ae=30.48 med#q=22.0, avg_margin=-0.52, buff=19892, n_ex=9946, eps=76.500, 95.75s
129: acc=7.52% acc_corr=7.56% avg#q_ae=30.55 med#q=22.0, avg_margin=-0.53, buff=19892, n_ex=9946, eps=76.500, 95.84s
130: acc=7.47% acc_corr=7.51% avg#q_ae=30.61 med#q=22.0, avg_margin=-0.53, buff=19892, n_ex=9946, eps=76.500, 95.93s
